area,type,num_properties,perc_properties_area,num_advertised,sum_lien_amount,median_lien_amount,median_assessed_value,num_vacant,num_vacant_lot,num_owner_occupied,num_owner_occupied_not_vacant,perc_vacant,perc_owner_occupied_not_vacant,perc_vacant_lot,auction_year
Mount Washington,neighborhood,1649,2.18,36,209950.57,4643.53,268733.5,1,6,18,18,2.78,50,16.67,2021
Mount Winans,neighborhood,393,6.62,26,1469424.72,2354.335,47600,3,6,7,7,11.54,26.92,23.08,2021
Mt Pleasant Park,neighborhood,11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
New Northwood,neighborhood,1245,6.18,77,182373.27,2629.18,116433,1,1,54,54,1.3,70.13,1.3,2021
New Southwest/Mount Clare,neighborhood,1210,24.79,300,15940817.129999999,4236.395,7950,109,64,25,20,36.33,6.67,21.33,2021
North Harford Road,neighborhood,2232,2.73,61,498561.74,3289.76,141600,3,3,26,25,4.92,40.98,4.92,2021
North Roland Park/Poplar Hill,neighborhood,537,1.12,6,144578.71,9688.735,133666.5,0,3,2,2,0,33.33,50,2021
Northwest Community Action,neighborhood,778,18.64,145,9946255.49,2880.82,7000,63,37,3,3,43.45,2.07,25.52,2021
O'Donnell Heights,neighborhood,28,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
Oakenshawe,neighborhood,535,5.79,31,81365.84,1781.82,183500,1,1,6,6,3.23,19.35,3.23,2021
Oaklee,neighborhood,156,3.85,6,12825.47,2111.665,98300,0,0,2,2,0,33.33,0,2021
Old Goucher,neighborhood,173,15.61,27,67698.49,1632.66,214000,1,1,3,3,3.7,11.11,3.7,2021
Oldtown,neighborhood,519,6.36,33,232225.62,1763,71867,6,1,13,13,18.18,39.39,3.03,2021
Oliver,neighborhood,2596,15.6,405,19714656.18,3850.17,11000,149,108,29,25,36.79,6.17,26.67,2021
Orangeville,neighborhood,209,7.66,16,47037.659999999996,2135.895,83783,1,1,6,5,6.25,31.25,6.25,2021
Orangeville Industrial Area,neighborhood,62,14.52,9,322584.14999999997,5008.16,485967,0,0,0,0,0,0,0,2021
Orchard Ridge,neighborhood,173,5.2,9,47948.1,1463.6,122133,0,4,1,1,0,11.11,44.44,2021
Original Northwood,neighborhood,435,2.76,12,39816.67,2994.71,141100,0,1,9,9,0,75,8.33,2021
Otterbein,neighborhood,644,2.33,15,1084219.91,5810.22,300000,0,1,7,7,0,46.67,6.67,2021
Overlea,neighborhood,303,3.63,11,52861.43,1865,136200,3,2,3,3,27.27,27.27,18.18,2021
Panway/Braddish Avenue,neighborhood,524,10.88,57,1060695.51,2162.26,90300,8,2,24,24,14.04,42.11,3.51,2021
Park Circle,neighborhood,1120,12.95,145,3038219.2399999998,1196.38,14100,47,6,19,17,32.41,11.72,4.14,2021
Parklane,neighborhood,639,8.29,53,430430.42,1581.22,30000,10,4,19,19,18.87,35.85,7.55,2021
Parkside,neighborhood,757,3.43,26,80823.22,2063.02,90600,0,1,15,15,0,57.69,3.85,2021
Parkview/Woodbrook,neighborhood,770,19.87,153,5683894.68,2363.48,70633,58,11,27,25,37.91,16.34,7.19,2021
Patterson Park,neighborhood,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
Patterson Park Neighborhood,neighborhood,2458,5.09,125,445656.26,3118.42,130667,13,0,29,29,10.4,23.2,0,2021
Patterson Place,neighborhood,553,5.24,29,123103.61,2832.12,151300,3,0,3,3,10.34,10.34,0,2021
Pen Lucy,neighborhood,903,11.52,104,3229919.1799999997,2654.94,93933,24,12,26,26,23.08,25,11.54,2021
Penn North,neighborhood,1205,20.33,245,16475282,2894.15,31567,120,27,14,13,48.98,5.31,11.02,2021
Penn-Fallsway,neighborhood,46,4.35,2,3361.95,1680.975,861100,0,0,0,0,0,0,0,2021
Penrose/Fayette Street Outreach,neighborhood,1650,17.09,282,8395983.89,1516.41,17000,129,19,43,36,45.74,12.77,6.74,2021
Perkins Homes,neighborhood,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
Perring Loch,neighborhood,1160,3.71,43,130904.26,3083.34,130767,0,0,33,33,0,76.74,0,2021
Pimlico Good Neighbors,neighborhood,457,11.82,54,658615.83,1271.2199999999998,40000,17,2,10,10,31.48,18.52,3.7,2021
Pleasant View Gardens,neighborhood,40,2.5,1,450607.61,450607.61,3219967,1,0,0,0,100,0,0,2021
Poppleton,neighborhood,1062,5.08,54,1569080,1133.44,29000,13,12,7,6,24.07,11.11,22.22,2021
Port Covington,neighborhood,98,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
Pulaski Industrial Area,neighborhood,342,10.53,36,1851689.6099999999,5022.765,112367,2,9,0,0,5.56,0,25,2021
Purnell,neighborhood,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
Radnor-Winston,neighborhood,198,3.54,7,26441.35,3859.51,172800,1,0,1,1,14.29,14.29,0,2021
Ramblewood,neighborhood,674,3.71,25,95773.44,2659.99,120167,2,1,20,19,8,76,4,2021
Reisterstown Station,neighborhood,600,11,66,1443784.8,4944.280000000001,15450,2,35,6,6,3.03,9.09,53.03,2021
Remington,neighborhood,1235,4.7,58,585432.7,2417.81,106300,6,1,23,22,10.34,37.93,1.72,2021
Reservoir Hill,neighborhood,1571,11.9,187,2476908.53,2253.14,165900,31,3,34,33,16.58,17.65,1.6,2021
Richnor Springs,neighborhood,324,13.27,43,400387.97000000003,2024.3,72900,7,4,14,13,16.28,30.23,9.3,2021
Ridgely's Delight,neighborhood,412,6.8,28,242232.26,3473.92,188350,4,3,6,6,14.29,21.43,10.71,2021
Riverside,neighborhood,3069,2.8,86,407626.15,3897.255,249900,2,4,37,37,2.33,43.02,4.65,2021
Rognel Heights,neighborhood,794,8.06,64,439816,2447.62,102550,2,9,30,30,3.12,46.88,14.06,2021
Roland Park,neighborhood,1596,1.69,27,199693.45,5952.6,329600,3,4,10,10,11.11,37.04,14.81,2021
Rosebank,neighborhood,233,2.58,6,153417.24,6201.605,398817,0,1,2,2,0,33.33,16.67,2021
Rosemont,neighborhood,980,15.61,153,8502148.71,1487.77,17000,59,19,23,18,38.56,11.76,12.42,2021
Rosemont East,neighborhood,633,3.95,25,403425.38999999996,2491.08,141667,2,2,9,9,8,36,8,2021
Rosemont Homeowners/Tenants,neighborhood,645,14.42,93,3452306.35,1800.24,48800,38,1,25,23,40.86,24.73,1.08,2021
Sabina-Mattfeldt,neighborhood,155,3.23,5,33568.78,2529.25,236100,0,0,2,2,0,40,0,2021
Saint Agnes,neighborhood,165,4.85,8,103461.43,1748.4,79300,0,1,4,4,0,50,12.5,2021
Saint Helena,neighborhood,288,8.68,25,59474.97,1618.4,61400,3,4,4,4,12,16,16,2021
Saint Josephs,neighborhood,917,14.18,130,4218667.38,2156.4700000000003,66750,30,18,39,35,23.08,26.92,13.85,2021
Saint Paul,neighborhood,194,8.25,16,1729933.63,3168.115,20000,0,13,0,0,0,0,81.25,2021
Sandtown-Winchester,neighborhood,3931,15.49,609,44280123.42,8790.68,7000,228,197,52,45,37.44,7.39,32.35,2021
Seton Business Park,neighborhood,42,4.76,2,19765.29,9882.645,1461983.5,0,0,0,0,0,0,0,2021
Seton Hill,neighborhood,369,6.5,24,295074.23,3098.72,135316.5,3,2,5,4,12.5,16.67,8.33,2021
Sharp-Leadenhall,neighborhood,251,5.98,15,86721.86,5922.71,260400,1,0,2,2,6.67,13.33,0,2021
Shipley Hill,neighborhood,1280,28.83,369,28984453.76,13551.38,6000,128,109,20,17,34.69,4.61,29.54,2021
South Baltimore,neighborhood,1688,3.08,52,249692.47,3587.94,220350,3,9,11,11,5.77,21.15,17.31,2021
South Clifton Park,neighborhood,589,10.87,64,2117729.2399999998,4568.71,17000,25,15,1,1,39.06,1.56,23.44,2021
Spring Garden Industrial Area,neighborhood,58,5.17,3,7905.48,2492.14,474800,0,0,1,1,0,33.33,0,2021
Stadium Area,neighborhood,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
Stonewood-Pentwood-Winston,neighborhood,301,6.31,19,42214.42,2571.7,119567,0,0,9,9,0,47.37,0,2021
Taylor Heights,neighborhood,175,0.57,1,344.74,344.74,3500,0,1,0,0,0,0,100,2021
Ten Hills,neighborhood,338,1.48,5,23549.84,4283.16,169500,1,1,2,2,20,40,20,2021
The Orchards,neighborhood,206,1.94,4,67667.15000000001,2518.17,385533.5,0,1,1,1,0,25,25,2021
Towanda-Grantley,neighborhood,511,12.52,64,1743055.24,923.03,21716.5,22,1,6,6,34.38,9.38,1.56,2021
Tremont,neighborhood,273,6.23,17,44494.4,2322.18,87700,0,0,3,3,0,17.65,0,2021
Tuscany-Canterbury,neighborhood,1809,1.16,21,87177.87,3842.71,208133,0,0,8,8,0,38.1,0,2021
Union Square,neighborhood,548,14.05,77,1738532.16,5205.6,91900,28,6,7,6,36.36,7.79,7.79,2021
University Of Maryland,neighborhood,144,2.08,3,46253.350000000006,19062.13,46100,1,0,0,0,33.33,0,0,2021
Unknown,neighborhood,242,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
Uplands,neighborhood,550,3.64,20,47194.26,2309.7749999999996,101850,1,0,11,11,5,55,0,2021
Upper Fells Point,neighborhood,1924,4.47,86,324976.02,2634.5699999999997,182750,8,1,23,22,9.3,25.58,1.16,2021
